,Accuracy,Accuracy C,Accuracy Penalty,Roc_auc_ovr,Roc_auc_ovr C,Roc_auc_ovr Penalty,F1_micro,F1_micro C,F1_micro Penalty
0,0.3961,0.0001,l1,0.2459905345659411,0.0001,l2,0.25860000000000005,1.0,l1
1,0.39960000000000007,0.0001,l1,0.2457956941155871,0.0001,l2,0.25859999999999994,0.01,l2
2,0.39890000000000003,0.0001,l1,0.2487202354817185,0.0001,l2,0.2539,0.01,l2
3,0.39890000000000003,0.0001,l1,0.23648622310456302,0.0001,l2,0.25669999999999993,1.0,l2
4,0.4021000000000001,0.0001,l1,0.24347605686005513,0.0001,l2,0.2532,0.1,l1
5,0.39970000000000006,0.0001,l1,0.2212447330744749,0.0001,l2,0.2460000000000001,0.1,l1
6,0.4034,0.0001,l1,0.2386994078950757,0.0001,l2,0.252,1.0,l1
7,0.40690000000000004,0.0001,l1,0.2351406170973721,0.0001,l2,0.24530000000000007,0.1,l1
8,0.3954,0.0001,l1,0.2416763418743989,0.0001,l2,0.25329999999999997,0.01,l1
9,0.39690000000000003,0.0001,l1,0.24735049006894805,0.0001,l2,0.256,1.0,l2
