,Accuracy,Accuracy K,Accuracy Metric,Precision,Precision K,Precision Metric,F1_micro,F1_micro K,F1_micro Metric
0,0.7085384484807333,25,manhattan,0.6453150603307016,29,manhattan,0.6282745182940029,25,manhattan
1,0.709613534770554,25,manhattan,0.640060015003751,29,manhattan,0.6263081395348837,23,manhattan
2,0.7075765291687885,21,manhattan,0.6368951907615845,21,manhattan,0.6277193487970033,21,manhattan
3,0.7093306173258643,29,manhattan,0.6402321083172147,29,manhattan,0.6262097067598049,29,manhattan
4,0.7039551858767612,23,manhattan,0.6330645161290323,27,manhattan,0.6280392435660458,23,manhattan
5,0.7128387936400158,29,manhattan,0.6423879725587506,29,manhattan,0.6342869496288824,29,manhattan
6,0.7141967973745261,25,manhattan,0.6495445721965059,25,manhattan,0.6326812595447604,25,manhattan
7,0.7105754540824988,27,manhattan,0.6457586618876942,27,manhattan,0.6283513768800406,27,manhattan
8,0.7102359531488711,21,manhattan,0.6454301875558202,29,manhattan,0.6308657103726664,21,manhattan
9,0.7128953771289538,25,manhattan,0.6531449407474932,27,manhattan,0.6306463326071169,21,manhattan
