,Accuracy,Accuracy K,Accuracy Metric,Precision,Precision K,Precision Metric,F1_micro,F1_micro K,F1_micro Metric
0,0.8625630715862503,29,manhattan,0.5464646464646464,29,manhattan,0.29328440366972475,1,manhattan
1,0.8619914853358562,29,manhattan,0.5691823899371069,29,manhattan,0.2964864666617766,1,manhattan
2,0.8621294544307789,27,manhattan,0.5204359673024523,27,manhattan,0.2984300947867299,1,manhattan
3,0.8625827814569537,29,manhattan,0.5533980582524272,29,manhattan,0.2960943257184967,1,manhattan
4,0.863647114474929,29,manhattan,0.5451807228915663,29,manhattan,0.2881801125703565,1,manhattan
5,0.8628390097760958,29,manhattan,0.5404089581304771,29,manhattan,0.24511741915078675,1,chebyshev
6,0.8609271523178808,29,manhattan,0.5746753246753247,29,manhattan,0.2957147050190783,1,manhattan
7,0.8645734783979817,25,manhattan,0.5570902394106814,25,manhattan,0.29492742780188536,1,manhattan
8,0.8631346578366446,27,manhattan,0.5690661478599222,27,manhattan,0.29010011123470525,1,manhattan
9,0.8603161463260801,25,manhattan,0.556237218813906,29,manhattan,0.2945361202786945,1,manhattan
