,Accuracy,Accuracy Depth,Accuracy Criterion,Precision,Precision Depth,Precision Criterion,F1_micro,F1_micro Depth,F1_micro Criterion
0,0.7156113845979744,10,gini,0.6596119929453262,6,gini,0.6344716400410376,10,gini
1,0.7165167204209811,9,gini,0.6554986815573135,9,gini,0.6281212841854934,9,gini
2,0.7136875459740848,9,gini,0.6521471448360782,8,gini,0.6307636097917427,10,gini
3,0.7161206359984157,10,gini,0.6525948262180606,7,gini,0.6304219533785778,10,gini
4,0.7139138799298365,10,gini,0.6511118070779831,6,entropy,0.6380747126436783,10,gini
5,0.7162338029762915,8,gini,0.652676399026764,8,gini,0.6382143376472299,10,gini
6,0.7225145702484015,10,entropy,0.6684458398744113,8,gini,0.6391525049657912,10,gini
7,0.7148757992417812,9,gini,0.6580237154150198,7,gini,0.6316408259240208,10,entropy
8,0.7214394839585809,10,gini,0.661451142813315,10,entropy,0.636884643644379,10,gini
9,0.7183273920669948,10,gini,0.6651605615620462,6,entropy,0.6334728648013512,10,gini
