,Accuracy,Accuracy Depth,Accuracy Criterion,Precision,Precision Depth,Precision Criterion,F1_micro,F1_micro Depth,F1_micro Criterion
0,0.8671160517187008,10,gini,0.7001703577512777,8,gini,0.1461995700012647,10,gini
1,0.8661896877956481,10,gini,0.717948717948718,7,gini,0.14508032128514056,10,gini
2,0.8674314096499527,10,gini,0.8947368421052632,5,gini,0.15479331574318378,10,gini
3,0.866978082623778,10,gini,0.8461538461538461,5,gini,0.15247425270032655,10,gini
4,0.8686140018921475,10,gini,0.7407407407407407,5,gini,0.15080471423140288,10,gini
5,0.8673919899085462,10,gini,0.6971428571428572,6,gini,0.15429146740498367,10,gini
6,0.864514348785872,10,gini,0.8181818181818182,5,gini,0.14673642252117589,10,gini
7,0.8685548722800378,10,gini,0.8050314465408805,6,gini,0.1555640147189443,10,gini
8,0.8671160517187008,10,gini,0.8823529411764706,5,gini,0.15782244974403795,10,gini
9,0.8644157994323557,10,gini,0.9210526315789473,5,gini,0.15006787609527336,10,gini
